id,log,date,wake_time,start_time,end_time,sleep_length,sleep_proportion,nap,segmented_sleep,calories_3hour_after_sleep,calories_daytime,calories_3hour_before_sleep,heartrate_3hours_before_sleep,heartrate_3hours_before_sleep_sd,start_time_category,calories_1hour_before_sleep,heartrate_1hours_before_sleep_mean,heartrate_1hours_before_sleep_sd
1503960366,11388770715,4/12/16 0:00,4/12/16 8:32,2016-04-13 03:08:00,4/13/16 8:20,312,0.926517572,0,0,324.9031405,1209.479665,158.2437954,,,3~6,47.18999862670896,,
1503960366,11421831252,4/15/16 0:00,4/15/16 10:20,2016-04-16 02:11:00,4/16/16 8:19,365,0.926488515,0,1,240.511693,806.3197765,300.9148912,,,0~3,52.38089847564695,,
1503960366,11421831254,4/16/16 0:00,4/16/16 8:19,2016-04-16 23:27:00,4/17/16 11:18,711,0.983146067,0,0,338.1949906,850.3637753,204.1753941,,,21~24,61.97619819641113,,
1503960366,11447640793,4/19/16 0:00,4/19/16 7:25,2016-04-20 02:01:00,4/20/16 8:17,376,0.954907162,0,0,298.7126918,1259.579714,226.8265934,,,0~3,53.01009845733642,,
1503960366,11455720858,4/20/16 0:00,4/20/16 8:17,2016-04-21 02:32:00,4/21/16 8:35,363,0.892857143,0,0,298.3980913,1012.854671,213.9279938,,,0~3,55.05499839782712,,
1503960366,11474187653,4/23/16 0:00,4/23/16 8:46,2016-04-24 01:57:00,4/24/16 9:25,448,0.957683742,0,0,212.3549938,1233.389264,181.9960947,,,0~3,54.11119842529297,,
1503960366,11486980511,4/24/16 0:00,4/24/16 9:25,2016-04-25 02:56:00,4/25/16 8:18,322,0.857585139,0,0,220.2199936,1083.167768,178.8500948,,,0~3,57.09989833831786,,
1503960366,11493711616,4/25/16 0:00,4/25/16 8:18,2016-04-26 03:59:00,4/26/16 8:32,273,0.894160584,0,0,301.8586912,1331.544461,181.3668947,,,3~6,64.49299812316895,,
1503960366,11517735116,4/28/16 0:00,4/28/16 8:34,2016-04-29 02:21:00,4/29/16 8:14,353,0.963276836,0,0,300.6789412,1069.797269,239.095993,,,0~3,55.21229839324949,,
1503960366,11522188936,4/29/16 0:00,4/29/16 8:14,2016-04-30 01:50:00,4/30/16 8:54,424,0.950588235,0,0,270.7132921,987.6080213,257.9719925,,,0~3,56.94259834289549,,
1503960366,11531996212,4/30/16 0:00,4/30/16 8:54,2016-05-01 02:02:00,5/1/16 8:37,395,0.931818182,0,0,199.1417942,1194.300215,243.0284929,,,0~3,62.133498191833496,,
1503960366,11540663911,5/1/16 0:00,5/1/16 8:37,2016-05-02 03:15:00,5/2/16 8:23,308,0.896440129,0,0,192.0632944,1202.558465,156.5134954,,,3~6,47.34729862213132,,
1503960366,11548039064,5/2/16 0:00,5/2/16 8:23,2016-05-03 03:39:00,5/3/16 8:34,295,0.922297297,0,0,293.1285424,1339.170783,164.5628434,,,3~6,59.07384079694748,,
1503960366,11569709241,5/5/16 0:00,5/5/16 8:39,2016-05-06 02:25:00,5/6/16 8:31,366,0.910081744,0,0,277.8658414,1198.823888,188.6299624,,,0~3,58.60500138998033,,
1503960366,11576325621,5/6/16 0:00,5/6/16 8:31,2016-05-07 02:41:00,5/7/16 8:29,348,0.948424069,0,0,290.3682426,1143.657049,163.0000437,,,0~3,46.884001493454,,
1503960366,11582776423,5/7/16 0:00,5/7/16 8:29,2016-05-08 01:32:00,5/8/16 11:42,610,0.972176759,0,0,279.9756222,970.4988087,234.8888424,,,0~3,52.66636115312578,,
1503960366,11591926984,5/8/16 0:00,5/8/16 11:42,2016-05-09 00:35:00,5/9/16 6:16,341,0.988304094,0,0,229.7316028,743.8146691,238.4832824,,,0~3,68.60692107677458,,
1503960366,11611033063,5/9/16 0:00,5/9/16 6:16,2016-05-10 01:36:00,5/10/16 8:18,402,0.950372208,0,0,203.0077229,1241.722756,151.747884,,,0~3,57.97988098859787,,
1503960366,11611033064,5/10/16 0:00,5/10/16 8:18,2016-05-11 03:08:00,5/11/16 8:13,305,0.931372549,0,0,283.0230835,1175.225612,180.3471237,,,3~6,55.47940140962602,,
1644430081,11524592517,4/30/16 0:00,4/29/16 20:39,2016-04-30 14:54:00,4/30/16 17:15,141,0.873239437,0,0,266.1638234,1559.883011,532.889761,,,daytime,144.18378043174755,,
1644430081,11548609830,5/1/16 0:00,4/30/16 17:15,2016-05-01 18:01:00,5/2/16 10:01,959,0.829006552,0,1,813.1065822,2225.714158,472.4618615,,,18~21,161.0473804473878,,
1927972279,11384336437,4/12/16 0:00,4/12/16 8:35,2016-04-13 02:23:00,4/13/16 9:24,421,0.943127962,1,0,253.9236031,1149.545603,274.7507858,,,0~3,90.976452112198,,
2026352035,11382294591,4/12/16 0:00,4/12/16 5:53,2016-04-12 20:52:00,4/13/16 6:16,564,0.939823009,0,0,205.7890481,622.0177451,207.1067181,,,18~21,70.61160933971411,,
2026352035,11391168707,4/13/16 0:00,4/13/16 6:16,2016-04-13 21:18:00,4/14/16 6:45,567,0.959507042,0,0,218.190648,639.1474543,236.405498,,,21~24,83.78830921649939,,
2026352035,11399886313,4/14/16 0:00,4/14/16 6:45,2016-04-14 20:56:00,4/15/16 6:28,572,0.912739965,0,0,247.3344077,506.7603753,213.462538,,,18~21,66.96863937377933,,
2026352035,11407818391,4/15/16 0:00,4/15/16 6:28,2016-04-15 21:04:00,4/16/16 6:30,566,0.924162257,0,0,220.2059084,562.8001055,211.369768,,,21~24,72.0067893266678,,
