id,log,date,wake_time,start_time,end_time,sleep_length,sleep_proportion,nap,segmented_sleep,start_time_category,calories_3hour_before_sleep,calories_3hour_after_sleep,calories_daytime,heartrate_3hours_before_sleep,heartrate_3hours_before_sleep_variance
1503960366,11388770715,4/12/16 0:00,4/12/16 8:32,4/13/16 3:08,4/13/16 8:20,312,0.926517572,0,0,3~6,158.2437954,324.9031405,1209.479665,,
1503960366,11421831252,4/15/16 0:00,4/15/16 10:20,4/16/16 2:11,4/16/16 8:19,365,0.926488515,0,1,0~3,300.9148912,240.511693,806.3197765,,
1503960366,11421831254,4/16/16 0:00,4/16/16 8:19,4/16/16 23:27,4/17/16 11:18,711,0.983146067,0,0,21~0,204.1753941,338.1949906,850.3637753,,
1503960366,11447640793,4/19/16 0:00,4/19/16 7:25,4/20/16 2:01,4/20/16 8:17,376,0.954907162,0,0,0~3,226.8265934,298.7126918,1259.579714,,
1503960366,11455720858,4/20/16 0:00,4/20/16 8:17,4/21/16 2:32,4/21/16 8:35,363,0.892857143,0,0,0~3,213.9279938,298.3980913,1012.854671,,
1503960366,11474187653,4/23/16 0:00,4/23/16 8:46,4/24/16 1:57,4/24/16 9:25,448,0.957683742,0,0,0~3,181.9960947,212.3549938,1233.389264,,
1503960366,11486980511,4/24/16 0:00,4/24/16 9:25,4/25/16 2:56,4/25/16 8:18,322,0.857585139,0,0,0~3,178.8500948,220.2199936,1083.167768,,
1503960366,11493711616,4/25/16 0:00,4/25/16 8:18,4/26/16 3:59,4/26/16 8:32,273,0.894160584,0,0,3~6,181.3668947,301.8586912,1331.544461,,
1503960366,11517735116,4/28/16 0:00,4/28/16 8:34,4/29/16 2:21,4/29/16 8:14,353,0.963276836,0,0,0~3,239.095993,300.6789412,1069.797269,,
1503960366,11522188936,4/29/16 0:00,4/29/16 8:14,4/30/16 1:50,4/30/16 8:54,424,0.950588235,0,0,0~3,257.9719925,270.7132921,987.6080213,,
1503960366,11531996212,4/30/16 0:00,4/30/16 8:54,5/1/16 2:02,5/1/16 8:37,395,0.931818182,0,0,0~3,243.0284929,199.1417942,1194.300215,,
1503960366,11540663911,5/1/16 0:00,5/1/16 8:37,5/2/16 3:15,5/2/16 8:23,308,0.896440129,0,0,3~6,156.5134954,192.0632944,1202.558465,,
1503960366,11548039064,5/2/16 0:00,5/2/16 8:23,5/3/16 3:39,5/3/16 8:34,295,0.922297297,0,0,3~6,164.5628434,293.1285424,1339.170783,,
1503960366,11569709241,5/5/16 0:00,5/5/16 8:39,5/6/16 2:25,5/6/16 8:31,366,0.910081744,0,0,0~3,188.6299624,277.8658414,1198.823888,,
1503960366,11576325621,5/6/16 0:00,5/6/16 8:31,5/7/16 2:41,5/7/16 8:29,348,0.948424069,0,0,0~3,163.0000437,290.3682426,1143.657049,,
1503960366,11582776423,5/7/16 0:00,5/7/16 8:29,5/8/16 1:32,5/8/16 11:42,610,0.972176759,0,0,0~3,234.8888424,279.9756222,970.4988087,,
1503960366,11591926984,5/8/16 0:00,5/8/16 11:42,5/9/16 0:35,5/9/16 6:16,341,0.988304094,0,0,0~3,238.4832824,229.7316028,743.8146691,,
1503960366,11611033063,5/9/16 0:00,5/9/16 6:16,5/10/16 1:36,5/10/16 8:18,402,0.950372208,0,0,0~3,151.747884,203.0077229,1241.722756,,
1503960366,11611033064,5/10/16 0:00,5/10/16 8:18,5/11/16 3:08,5/11/16 8:13,305,0.931372549,0,0,3~6,180.3471237,283.0230835,1175.225612,,
1644430081,11524592517,4/30/16 0:00,4/29/16 20:39,4/30/16 14:54,4/30/16 17:15,141,0.873239437,0,0,Daytime,532.889761,266.1638234,1559.883011,,
1644430081,11548609830,5/1/16 0:00,4/30/16 17:15,5/1/16 18:01,5/2/16 10:01,959,0.829006552,0,1,18~21,472.4618615,813.1065822,2225.714158,,
1927972279,11384336437,4/12/16 0:00,4/12/16 8:35,4/13/16 2:23,4/13/16 9:24,421,0.943127962,1,0,0~3,274.7507858,253.9236031,1149.545603,,
2026352035,11382294591,4/12/16 0:00,4/12/16 5:53,4/12/16 20:52,4/13/16 6:16,564,0.939823009,0,0,18~21,207.1067181,205.7890481,622.0177451,,
2026352035,11391168707,4/13/16 0:00,4/13/16 6:16,4/13/16 21:18,4/14/16 6:45,567,0.959507042,0,0,21~0,236.405498,218.190648,639.1474543,,
2026352035,11399886313,4/14/16 0:00,4/14/16 6:45,4/14/16 20:56,4/15/16 6:28,572,0.912739965,0,0,18~21,213.462538,247.3344077,506.7603753,,
2026352035,11407818391,4/15/16 0:00,4/15/16 6:28,4/15/16 21:04,4/16/16 6:30,566,0.924162257,0,0,21~0,211.369768,220.2059084,562.8001055,,
2026352035,11415575687,4/16/16 0:00,4/16/16 6:30,4/16/16 21:09,4/17/16 5:26,497,0.87751004,0,0,21~0,186.1015083,213.2300082,522.3398851,,
2026352035,11441438237,4/19/16 0:00,4/19/16 5:43,4/19/16 21:10,4/20/16 5:39,508,0.904079931,0,1,21~0,194.5500982,190.3645582,560.9398648,,
2026352035,11450431030,4/20/16 0:00,4/20/16 5:39,4/20/16 21:30,4/21/16 6:03,513,0.928015564,0,0,21~0,236.8705583,211.679808,827.3417339,,
2026352035,11459456610,4/21/16 0:00,4/21/16 6:03,4/21/16 21:06,4/22/16 6:10,544,0.95412844,0,0,21~0,197.2629482,191.0621482,556.9868548,,
2026352035,11464357502,4/22/16 0:00,4/22/16 6:10,4/22/16 20:45,4/23/16 5:58,553,0.942238267,0,0,18~21,185.9464883,188.7368482,577.7595353,,
2026352035,11473013379,4/23/16 0:00,4/23/16 5:58,4/23/16 20:49,4/24/16 6:39,590,0.939086294,0,0,18~21,221.2135379,262.2938383,1001.816745,,
2026352035,11479531689,4/24/16 0:00,4/24/16 6:39,4/24/16 21:08,4/25/16 5:58,530,0.952919021,0,0,21~0,207.7267981,211.602298,533.966385,,
2026352035,11504172158,4/27/16 0:00,4/27/16 6:50,4/27/16 21:23,4/28/16 6:27,544,0.941284404,0,0,21~0,259.5809878,185.5589383,693.9470237,,
2026352035,11512494969,4/28/16 0:00,4/28/16 6:27,4/28/16 22:25,4/29/16 6:54,509,0.960784314,0,0,21~0,235.1653378,194.7051182,839.4332922,,
2026352035,11519761551,4/29/16 0:00,4/29/16 6:54,4/29/16 20:59,4/30/16 7:05,606,0.94398682,0,0,18~21,239.350878,228.6544979,752.6220937,,
